,Name,ID,Badge,Reviewed,Disc Percent,Qty Sold,Original Price,Final Price,Avg Rating,Prod URL,Shop Name,Shop ID,Shop City,Shop URL
0,Rexus Mouse Wireless Xierra S5 Aviator,1379147220,Official Store,2191,34,0,149000,99000,4.9,https://www.tokopedia.com/rexusid/rexus-mouse-wireless-xierra-s5-aviator-putih?whid=5931369,Rexus Official Store,2411749,Jakarta Selatan,https://www.tokopedia.com/rexusid
1,Mouse Gaming / Gaming Mouse Terlaris HP M100 - 1600DPI RGB 3 Button,268959389,Official Store,2778,26,0,80000,59000,4.9,https://www.tokopedia.com/setofficial/mouse-gaming-gaming-mouse-terlaris-hp-m100-1600dpi-rgb-3-button?whid=6882945,SET Gaming Gear Official,3141137,Makassar,https://www.tokopedia.com/setofficial
2,Razer DeathAdder Essential Gaming Mouse,346205246,Official Store,6433,58,0,595000,249000,5.0,https://www.tokopedia.com/razer/razer-deathadder-essential-gaming-mouse?whid=5931369,Razer Flagship Store,2207588,Jakarta Selatan,https://www.tokopedia.com/razer
3,Mouse Gaming AULA S50 – 2400DPI - RGB Breathing - Macro - 7 Buttons,1925843420,Official Store,487,68,0,275000,89000,4.9,https://www.tokopedia.com/aula-official/mouse-gaming-aula-s50-2400dpi-rgb-breathing-macro-7-buttons?whid=9767451,Aula Official Store,2821709,Medan,https://www.tokopedia.com/aula-official
4,Rexus Mouse Wireless Gaming Xierra 108,282982070,Official Store,1404,6,0,159000,149000,4.9,https://www.tokopedia.com/rexusid/rexus-mouse-wireless-gaming-xierra-108?whid=5931369,Rexus Official Store,2411749,Jakarta Selatan,https://www.tokopedia.com/rexusid
5,Rexus Mousepad Gaming Daxa Retro Mousemat Extended Cloth XL,1983993294,Official Store,692,54,0,299000,139000,5.0,https://www.tokopedia.com/rexusid/rexus-mousepad-gaming-daxa-retro-mousemat-extended-cloth-xl?whid=5931369,Rexus Official Store,2411749,Jakarta Selatan,https://www.tokopedia.com/rexusid
6,Mouse Gaming/Gaming Mouse Terlaris HP M260 - 6400DPI RGB 6Button Macro,693638284,Official Store,1282,34,0,120000,79000,4.9,https://www.tokopedia.com/setofficial/mouse-gaming-gaming-mouse-terlaris-hp-m260-6400dpi-rgb-6button-macro?whid=6882945,SET Gaming Gear Official,3141137,Makassar,https://www.tokopedia.com/setofficial
7,Logitech G502 HERO High Performance Mouse Gaming Wired RGB,352224430,Official Store,1612,42,0,1199000,699000,4.9,https://www.tokopedia.com/logitech-g/logitech-g502-hero-high-performance-mouse-gaming-wired-rgb?whid=10937518,Logitech G Official,2670965,Bandung,https://www.tokopedia.com/logitech-g
8,Rexus Mouse Gaming Xierra G10,1849978230,Official Store,1344,23,0,129000,99000,4.9,https://www.tokopedia.com/rexusid/rexus-mouse-gaming-xierra-g10-hitam?whid=20694,Rexus Official Store,2411749,Jakarta Pusat,https://www.tokopedia.com/rexusid
9,Digital Alliance D4 MOUSEPAD GAMING M,254713844,Official Store,1734,30,0,79000,55000,4.9,https://www.tokopedia.com/digital-alliance/digital-alliance-d4-mousepad-gaming-m?whid=13204860,Digital Alliance,2343655,Jakarta Utara,https://www.tokopedia.com/digital-alliance
